varname,printname,mpi-mainz-uvviz,long-name,
NOA,NOA,,,
DMS,DMS,,,
DMSO,DMSO,,,
MeSCH2OO,CH_3SCH_2OO,,,
MeS,CH_3S,,,
MeSOO,CH_3SOO,,,
MeSOOO,CH_3SOOO,,,
MeSO2OO,MeSO_2OO,,,
MeSCH2OOH,CH_3SCH_2OOH,,,
MeSO,CH_3SO,,,
MeSO3,CH_3SO_3,,,
SO2,SO_2,,,
MSA,MSA,,,
MeSO2,CH_3SO_2,,,
MeSO2CH2O2,MeSO_2CH_2O_2,,,
MeSO2CH2HP,MeSO_2CH_2HP,,,
IBr,IBr,,,
NC4H10,NC_4H_10,,,
SC4H9OO,SC_4H_9OO,,,
SC4H9OOH,SC_4H_9OOH,,,
IC4H10,IC_4H_10,,,
IC4H9OO,IC_4H_9OO,,,
TC4H9OO,TC_4H_9OO,,,
IC4H9OOH,IC_4H_9OOH,,,
TC4H9OOH,TC_4H_9OOH,,,
IPRCO3,IPRCO_3,,,
PERIBUACID,PERIBUACID,,,
IBUTACID,IBUTACID,,,
IPRPAN,IPRPAN,,,
NC5H12,NC5H_12,,,
PEBOO,PEBOO,,,
PECOO,PECOO,,,
PEBOOH,PEBOOH,,,
PECOOH,PECOOH,,,
IC5H12,IC5H_12,,,
IPEBOO,IPEBOO,,,
IPECOO,IPECOO,,,
IPEBOOH,IPEBOOH,,,
IPECOOH,IPECOOH,,,
NBUTOLAOO,NBUTOLAOO,,,
NBUTOLAOOH,NBUTOLAOOH,,,
NO3BU1EOO,NO3BU1EOO,,,
NO3BU1EOOH,NO3BU1EOOH,,,
