is_integrated,varname,printname,mpi-mainz-uvviz,long-name,CASRN
1,PRCHO,PRCHO,,,
1,PE1ENEAOOH,PE1ENEAOOH,,,
1,C51NO32OO,C51NO32OO,,,
1,PRCO3,PRCO3,,,
1,PRCO3H,PRCO3H,,,
1,PBN,PBN,,,
1,NOA3,NOA3,,,
1,PE2ENEAOO,PE2ENEAOO,,,
1,PE2ENEAOOH,PE2ENEAOOH,,,
1,C52NO33OO,C52NO33OO,,,
1,C52NO33OOH,C52NO33OOH,,,
1,NOA2,NOA2,,,
1,DMSO2,DMSO_2,,,
1,H2S,H_2S,H2S,Hydrogen Sulfide,7783-06-04
1,SH,SH,,,
1,CS2,CS_2,CS2,carbon disulfide,75-15-0
1,OCS,OCS,OCS,carbonyl sulfide,463-58-1
1,H2SO4,H_2SO_4,H2SO4,sulfuric acid,7664-93-9
1,HCO2,HCO2,,Hydroxycarbonyl,
1,CH2ONO2,CH2ONO2,,,
1,Me2SO,(CH_3)_2SO,,Beta-Mercaptoethanol,60-24-2
1,PERPROACI,PERPROACI,,,
1,PRONO3AO,PRONO_3AO,,,
1,PRONO3BO,PRONO_3BO,,,
1,NO3BU1EO,NO3BU1EO,,,
1,OOBU1ENO,OOBU1ENO,,,
1,C42NO33O,C42NO33O,,,
1,EtO,C_2H_5OH,C2H5OH,Ethanol,64-17-5
1,C51NO32O,C51NO32O,,,
1,Isoprene,Isoprene,CH2=C(CH3)CH=CH2,Isoprene,78-79-5
1,ISMVKOO,ISMVKOO,,,
1,ISMACROO,ISMACROO,,,
1,MVK,MVK,CH3C(O)CH=CH2,methyl vinyl ketone,78-94-4
1,ISMVKOOH,ISMVKOOH,,,
1,MACR,MACR,CH2=C(CH3)CHO,Methacrolein,78-85-3
1,ISMACROOH,ISMACROOH,,,
1,HMVKBOO,HMVKBOO,,,
1,MACO3,MACO3,,,
1,MACROO,MACROO,,,
1,MPAN,MPAN,,,
1,NISOPOO,NISOPOO,,,
1,NISOPOOH,NISOPOOH,,,
2,O2,O_2,O2,Oxygen,7782-44-7
2,N2,N_2,N2,Nitrogen,7727-37-9
2,HClS,HCl_{(S)},,,
2,H2OS,H_2O_{(S)},,,
2,HONO2S,HNO_{3(S)},,,
2,Photon,h\nu,,,
2,RO2,RO_2,,,
