idx,Source,Reactants,,Products,,,,Product Stoich,,,,a1,a2,a3,a4,a5,contains_OH,contains_HONO2,contains_CO,all_reactants_HO2
R274,MP,O2-,N2O,O3-,N2,,,1,1,,,1.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R275,ZN,O2-,O,O3,e,,,1,1,,,1.50E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R276,ZN,O2-,O,O-,O2,,,1,1,,,1.50E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R277,MP,O2-,O2,O2,e,,,2,1,,,2.70E-10,0.5,0,0,-5590,FALSE,FALSE,FALSE,FALSE
R278,MP,O2-,N2,O2,N2,e,,1,1,1,,1.90E-12,1.5,0,0,-4990,FALSE,FALSE,FALSE,FALSE
R280,XX,O2-,H2O,OH-,H,O2,,1,1,1,,1.40E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R282,MP,O2-,N,NO2,e,,,1,1,,,5.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R283,ZN,O-,O2,O3,e,,,1,1,,,3.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R285,VE,O-,O2,O,O2,e,,1,1,1,,2.30E-09,0,0,0,-26000,FALSE,FALSE,FALSE,FALSE
R286,VE,O-,N2,O,N2,e,,1,1,1,,2.30E-09,0,0,0,-26000,FALSE,FALSE,FALSE,FALSE
R287,VE,O-,N2,N2O,e,,,1,1,,,1.00E-16,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R288,MP,O-,NO,NO2,e,,,1,1,,,1.60E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R289,MP,O-,CO,CO2,e,,,1,1,,,4.40E-10,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R291,ZN,O-,O,O2,e,,,1,1,,,1.90E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R292,MP,O-,H2,H2O,e,,,1,1,,,6.40E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R293,MP,O-,O3,O2-,O2,,,1,1,,,8.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
